TriviaID,TriviaType,Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectChoice,Category,Difficulty,StartDate,EndDate,Active,Explanation
Tr-01,daily,How many innings are in an official MLB baseball game?,9,7,8,6,A,,Easy,4/11/2026,4/11/2027,TRUE,
Tr-02,daily,How many outs does each team get in one inning?,2,3,4,6,B,,,,,,
Tr-03,daily,How many players from one team are on the field at a time?,7,8,9,10,C,,,,,,
Tr-04,daily,How many bases are on a baseball field?,3,4,5,6,B,,,,,,
Tr-05,daily,What is the name of the player who throws the ball to the batter?,Catcher,Pitcher,Shortstop,Coach,B,,,,,,
Tr-06,daily,What is the name of the player behind home plate?,Pitcher,Catcher,Center fielder,First baseman,B,,,,,,
Tr-07,daily,What do you call a hit where the batter reaches first base safely?,Double,Triple,Single,Home run,C,,,,,,
Tr-08,daily,What do you call a hit where the batter reaches second base safely?,Single,Double,Triple,Walk,B,,,,,,
Tr-09,daily,What do you call a hit where the batter reaches third base safely?,Single,Double,Triple,Steal,C,,,,,,
Tr-10,daily,What do you call a hit that lets the batter circle all the bases and score?,Bunt,Home run,Foul ball,Strike,B,,,,,,
Tr-11,daily,Which base does a runner go to first after hitting the ball?,First base,Second base,Third base,Home plate,A,,,,,,
Tr-12,daily,What is it called when a pitcher throws four balls?,Strikeout,Walk,Double play,Balk,B,,,,,,
Tr-13,daily,How many strikes usually make a strikeout?,2,3,4,5,B,,,,,,
Tr-14,daily,What is it called when a fielder catches a ball hit in the air before it lands?,Tag out,Fly out,Walk,Bunt,B,,,,,,
Tr-15,daily,What is it called when two outs are made on one play?,Triple play,Double play,Force play,Steal,B,,,,,,
Tr-16,daily,Which position usually stands between second and third base in the infield?,First baseman,Shortstop,Catcher,Pitcher,B,,,,,,
Tr-17,daily,Which position usually stands near first base?,First baseman,Right fielder,Pitcher,Shortstop,A,,,,,,
Tr-18,daily,Which position usually stands near third base?,Third baseman,Center fielder,Catcher,Second baseman,A,,,,,,
Tr-19,daily,Which outfielder stands in the middle of the outfield?,Left fielder,Right fielder,Center fielder,Shortstop,C,,,,,,
Tr-20,daily,What shape is the baseball field called because of the way the bases are arranged?,Circle,Square,Diamond,Triangle,C,,,,,,
Tr-21,daily,How far apart are the bases in baseball?,60 feet,70 feet,80 feet,90 feet,D,,,,,,
Tr-22,daily,How far is the pitcher’s mound from home plate?,46 feet,50 feet,60 feet 6 inches,70 feet,C,,,,,,
Tr-23,daily,What is a fair ball hit outside the foul lines called?,Strike,Home run,Foul ball,Nothing,D,,,,,,
Tr-24,daily,What do batters wear on their heads for safety?,Cap,Helmet,Mask,Goggles,B,,,,,,
Tr-25,daily,Who usually decides when to change pitchers during a game?,Mascot,Manager,Bat boy,Umpire,B,,,,,,
Tr-26,daily,Which team bats first in a baseball game?,Home team,Visiting team,Whichever team wants,Neither team,B,,,,,,
Tr-27,daily,What is the name of the area where players sit when they are not on the field?,Bullpen,Dugout,Clubhouse,Bleachers,B,,,,,,
Tr-28,daily,What is the bullpen used for?,Batting practice,Warming up pitchers,Team meetings,Fans sitting,B,,,,,,
Tr-29,daily,What is a ball hit over the outfield fence in fair territory called?,Bunt,Fly out,Home run,Single,C,,,,,,
Tr-30,daily,What is a pitcher trying to throw through over home plate?,End zone,Strike zone,Dugout,Bullpen,B,,,,,,
Tr-31,daily,What is it called when a runner advances to the next base while the pitcher throws to home?,Tag up,Steal,Slide,Bunt,B,,,,,,
